PROFESION;SEDE DE ADJUDICACIÓN;N° PLAZAS;"DIRESA
GERESA
DIRIS";INSTITUCIÓN;DEPARTAMENTO;PROVINCIA;DISTRITO;GRADO DE DIFICULTAD;"CODIGO
RENIPRESS
MODULAR";NOMBRE DE ESTABLECIMIENTO;CATEGORIA;PRESUPUESTO;ZAF (*);ZE (**);norte;este;direccion
BIOLOGIA;SEDE CENTRAL;1;AMAZONAS;GOBIERNO REGIONAL;AMAZONAS;BAGUA;IMAZA;GD-5;00005070;IMAZA;I-3;NACIONAL;SI;NO;-505830398;-7833673233;CENTRO POBLADO IMACITA S/N
BIOLOGIA;SEDE CENTRAL;1;AMAZONAS;GOBIERNO REGIONAL;AMAZONAS;BONGARA;JAZAN;GD-2;00004922;PEDRO RUIZ GALLO;I-4;NACIONAL;NO;NO;-594356629;-7797722101;JIRÓN JUAN ZUMARÁN PASTOR S/N - PEDRO RUIZ GALLO
BIOLOGIA;SEDE CENTRAL;1;AMAZONAS;GOBIERNO REGIONAL;AMAZONAS;RODRIGUEZ DE MENDOZA;CHIRIMOTO;GD-4;00004954;ZARUMILLA;I-3;NACIONAL;NO;NO;-656652485;-7738057225;AV. PRINCIPAL S/N - ANEXO ZARUMILLA
BIOLOGIA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;CASMA;BUENA VISTA ALTA;GD-3;00001723;CENTRO DE SALUD BUENAVISTA;I-3;NACIONAL;NO;NO;-943233254;-7820686282;CALLE BOLOGNESI S/N CASCA URBANO
BIOLOGIA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;CASMA;YAUTAN;GD-3;00001728;CENTRO DE SALUD YAUTAN;I-4;NACIONAL;NO;NO;-951195923;-7799678631;AV. CASMA S/N YAUTAN
BIOLOGIA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;POMABAMBA;POMABAMBA;GD-4;00001765;"HOSPITAL DE APOYO DE POMABAMBA ""ANTONIO CALDAS DOMINGUEZ""";II-1;NACIONAL;NO;NO;-881402076;-774641063;AV. SEÑOR DE LOS MILAGROS S/N - HUAJTACHACRA
BIOLOGIA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;SANTA;MORO;GD-2;00001716;CENTRO DE SALUD MORO;I-3;NACIONAL;NO;NO;-913980296;-7818465623;AV. INDEPENDENCIA
BIOLOGIA;SEDE CENTRAL;1;APURIMAC;GOBIERNO REGIONAL;APURIMAC;ANDAHUAYLAS;PACUCHA;GD-4;00004189;PACUCHA;I-4;NACIONAL;NO;NO;-1360911902;-7334093778;AV.ALMANZA OCAMPO
BIOLOGIA;SEDE CENTRAL;1;APURIMAC;GOBIERNO REGIONAL;APURIMAC;ANDAHUAYLAS;TALAVERA;GD-4;00004195;TALAVERA;I-4;NACIONAL;NO;NO;-1365920002;-7342997622;INCA GARCILAZO DE LA VEGA S/N TALAVERA
BIOLOGIA;SEDE CENTRAL;1;APURIMAC;GOBIERNO REGIONAL;APURIMAC;ANTABAMBA;JUAN ESPINOZA MEDRANO;GD-4;00002558;MOLLEBAMBA;I-3;NACIONAL;NO;NO;-1442863956;-7291549172;SECTOR MOLLEBAMBA S/N
BIOLOGIA;SEDE CENTRAL;1;APURIMAC;GOBIERNO REGIONAL;APURIMAC;ANTABAMBA;PACHACONAS;GD-4;00002561;PACHACONAS;I-3;REGIONAL;NO;NO;-1422223667;-7301679;SECTOR PACHACONAS S/N
BIOLOGIA;SEDE CENTRAL;1;APURIMAC;GOBIERNO REGIONAL;APURIMAC;COTABAMBAS;CHALLHUAHUACHO;GD-5;00017933;PATARIO;I-1;NACIONAL;NO;NO;-1423252176;-7231767609;CENTRO POBLADO PATARIO
BIOLOGIA;SEDE CENTRAL;1;AREQUIPA;GOBIERNO REGIONAL;AREQUIPA;AREQUIPA;YURA;GD-3;00001253;CENTRO DE SALUD CIUDAD DE DIOS;I-3;NACIONAL;NO;NO;-1630516833;-71619675;KILOMETRO 14 CMTE. 10 MZ. 2 F-1-CIUDAD DE DIOS
BIOLOGIA;SEDE CENTRAL;1;AREQUIPA;GOBIERNO REGIONAL;AREQUIPA;CAMANA;OCOÑA;GD-2;00001348;CENTRO DE SALUD OCOÑA;I-3;NACIONAL;NO;NO;-1643482519;-7310560031;JULIO SALAZAR MONROY S/N
BIOLOGIA;SEDE CENTRAL;1;AREQUIPA;GOBIERNO REGIONAL;AREQUIPA;CAMANA;SAMUEL PASTOR;GD-2;00001346;LA PAMPA;I-3;NACIONAL;NO;NO;-1661372775;-7269956985;AVENIDA 3 DE NOVIEMBRE 201
BIOLOGIA;SEDE CENTRAL;1;AREQUIPA;GOBIERNO REGIONAL;AREQUIPA;CARAVELI;ACARI;GD-2;00001352;CENTRO DE SALUD ACARI;I-3;REGIONAL;SI;NO;-1545316165;-7462286493;AV RICARDO PALMA S/N
BIOLOGIA;SEDE CENTRAL;1;AREQUIPA;GOBIERNO REGIONAL;AREQUIPA;CARAVELI;CARAVELI;GD-3;00001351;CENTRO DE SALUD CARAVELI;I-3;REGIONAL;NO;NO;-1577487681;-7336849961;JIRON DOS DE MAYO S/N
BIOLOGIA;SEDE CENTRAL;1;AREQUIPA;GOBIERNO REGIONAL;AREQUIPA;CAYLLOMA;CALLALLI;GD-4;00001421;CENTRO DE SALUD CALLALLI;I-3;NACIONAL;NO;NO;-155055231;-7144226742;CALLE POQUECHATA S/N
BIOLOGIA;SEDE CENTRAL;1;AREQUIPA;GOBIERNO REGIONAL;AREQUIPA;CAYLLOMA;MAJES;GD-3;00001325;CENTRO DE SALUD  SANDRITA PEREZ EL PEDREGAL;I-4;NACIONAL;NO;NO;-1636211873;-7219036941;PLAZA PRINCIPAL S/N EL PEDREGAL
BIOLOGIA;SEDE CENTRAL;1;AREQUIPA;GOBIERNO REGIONAL;AREQUIPA;ISLAY;COCACHACRA;GD-2;00001445;CENTRO DE SALUD COCACHACRA;I-3;NACIONAL;NO;NO;-1709015739;-7176087434;AVENIDA LIBERTAD S/N
BIOLOGIA;SEDE CENTRAL;2;AYACUCHO;GOBIERNO REGIONAL;AYACUCHO;HUAMANGA;ACOCRO;GD-5;00003546;CENTRO DE SALUD CHONTACA;I-3;NACIONAL;NO;NO;-1328459329;-7404071852;COMUNIDAD DE CHONTACA
BIOLOGIA;SEDE CENTRAL;1;AYACUCHO;GOBIERNO REGIONAL;AYACUCHO;HUAMANGA;ACOS VINCHOS;GD-4;00003551;CENTRO DE SALUD ACOSVINCHOS;I-3;NACIONAL;NO;NO;-1311269391;-7410176258;A 3 CUADRAS DE LA PLAZA PRINCIPAL
BIOLOGIA;SEDE CENTRAL;1;AYACUCHO;GOBIERNO REGIONAL;AYACUCHO;HUAMANGA;OCROS;GD-5;00003577;CENTRO DE SALUD OCROS;I-3;NACIONAL;NO;NO;-1339248277;-739163231;CENTRO POBLADO OCROS MZ-Q L-10
BIOLOGIA;SEDE CENTRAL;1;AYACUCHO;GOBIERNO REGIONAL;AYACUCHO;HUAMANGA;QUINUA;GD-4;00003595;CENTRO DE SALUD QUINUA;I-3;NACIONAL;NO;NO;-1304955333;-74140475;JR. BOLIVAR S/N
BIOLOGIA;SEDE CENTRAL;1;AYACUCHO;GOBIERNO REGIONAL;AYACUCHO;HUANTA;HUAMANGUILLA;GD-5;00003650;CENTRO DE SALUD HUAMANGUILLA;I-3;NACIONAL;NO;NO;-1301059167;-7417549167;AV.AYACUCHO S/N
BIOLOGIA;SEDE CENTRAL;1;AYACUCHO;GOBIERNO REGIONAL;AYACUCHO;HUANTA;SANTILLANA;GD-5;00003667;CENTRO DE SALUD SAN JOSE DE SECCE;I-4;NACIONAL;NO;NO;-1276943;-7425808167;DE SAN JOSE DE SECCE
BIOLOGIA;SEDE CENTRAL;1;AYACUCHO;GOBIERNO REGIONAL;AYACUCHO;LA MAR;ANCHIHUAY;GD-5;00003758;PUESTO DE SALUD ANCHIHUAY;I-3;NACIONAL;NO;NO;-1286312333;-7357847833;LTE 16 MZ K BARRIO PUERTO ASUNCION
BIOLOGIA;SEDE CENTRAL;1;AYACUCHO;GOBIERNO REGIONAL;AYACUCHO;LA MAR;TAMBO;GD-5;00003797;CENTRO DE SALUD TAMBO;I-4;NACIONAL;NO;NO;-1294195;-740176;AA.HH. VISTA ALEGRE-AV. JOSE CARLOS MARIATEGUI S/N
BIOLOGIA;SEDE CENTRAL;1;AYACUCHO;GOBIERNO REGIONAL;AYACUCHO;LUCANAS;CHIPAO;GD-5;00003711;CHIPAO;I-3;NACIONAL;NO;NO;-1436545293;-7387971317;PUEBLO DE CHIPAO HUALLANCAPUCRO S/N.
BIOLOGIA;SEDE CENTRAL;1;AYACUCHO;GOBIERNO REGIONAL;AYACUCHO;LUCANAS;OCAÑA;GD-5;00003684;CENTRO DE SALUD OCAÑA;I-3;NACIONAL;NO;NO;-1439768;-7482149167;CALLE PRINCIPAL S/N
BIOLOGIA;SEDE CENTRAL;1;AYACUCHO;GOBIERNO REGIONAL;AYACUCHO;LUCANAS;SAN CRISTOBAL;GD-5;00003725;CENTRO DE SALUD SAN CRISTOBAL;I-3;NACIONAL;NO;NO;-1474137;-7422242333;NOR ESTE DEL PUEBLO DE SAN CRISTOBAL
BIOLOGIA;SEDE CENTRAL;1;AYACUCHO;GOBIERNO REGIONAL;AYACUCHO;LUCANAS;SAN PEDRO;GD-5;00003735;CENTRO DE SALUD SAN PEDRO;I-3;NACIONAL;NO;NO;-1476788808;-7409737486;PLAZA DE ARMAS S/N.
BIOLOGIA;SEDE CENTRAL;1;AYACUCHO;GOBIERNO REGIONAL;AYACUCHO;PAUCAR DEL SARA SARA;PAUSA;GD-3;00003701;CENTRO DE SALUD PAUSA;I-4;NACIONAL;NO;NO;-1528102173;-7334357525;JR. CESAR VALLEJO Nº 600
BIOLOGIA;SEDE CENTRAL;1;AYACUCHO;GOBIERNO REGIONAL;AYACUCHO;SUCRE;SORAS;GD-5;00003818;CENTRO DE SALUD SORAS;I-3;NACIONAL;NO;NO;-1411425167;-7360478333;SAN MARTIN S/N
BIOLOGIA;SEDE CENTRAL;1;CAJAMARCA;GOBIERNO REGIONAL;CAJAMARCA;CELENDIN;CORTEGANA;GD-5;00004477;CORTEGANA;I-3;NACIONAL;SI;NO;-651389582;-7832874799;JR. SANTA ROSA S/N
BIOLOGIA;SEDE CENTRAL;1;CAJAMARCA;GOBIERNO REGIONAL;CAJAMARCA;CELENDIN;MIGUEL IGLESIAS;GD-5;00004478;MIGUEL IGLESIAS;I-3;NACIONAL;NO;NO;-664978414;-7823179707;JR. SAN ISIDRO S/N
BIOLOGIA;SEDE CENTRAL;1;CAJAMARCA;GOBIERNO REGIONAL;CAJAMARCA;CHOTA;CHOTA;GD-4;00004660;PATRONA DE CHOTA;I-3;NACIONAL;NO;NO;-656244532;-7864738403;CIUDAD DE CHOTA
BIOLOGIA;SEDE CENTRAL;1;CAJAMARCA;GOBIERNO REGIONAL;CAJAMARCA;CONTUMAZA;CHILETE;GD-3;00004538;DE APOYO CHILETE;I-4;NACIONAL;NO;NO;-722042167;-78840105;JR. VICTOR RAUL HAYA DE LA TORRE 323
BIOLOGIA;SEDE CENTRAL;1;CAJAMARCA;GOBIERNO REGIONAL;CAJAMARCA;CUTERVO;LA RAMADA;GD-5;00005027;LA RAMADA;I-3;NACIONAL;NO;NO;-621138;-7855653;JR. PROLONGACION COMERCIO S/N
BIOLOGIA;SEDE CENTRAL;1;CAJAMARCA;GOBIERNO REGIONAL;CAJAMARCA;SAN MIGUEL;TONGOD;GD-5;00004607;TONGOD;I-3;NACIONAL;NO;NO;-676306;-7882383;URB. EL CARMEN S/N
BIOLOGIA;SEDE CENTRAL;1;CUSCO;GOBIERNO REGIONAL;CUSCO;ANTA;ANTA;GD-4;00002326;ANTA;I-4;NACIONAL;NO;NO;-1346247723;-7214629207;JIRON JUNIN S/N° / ANTA / CUSCO
BIOLOGIA;SEDE CENTRAL;1;CUSCO;GOBIERNO REGIONAL;CUSCO;CALCA;CALCA;GD-4;00002341;CALCA;I-4;NACIONAL;NO;NO;-1332199764;-7195949633;CALLE CALCA S/N / CALCA / CUSCO
BIOLOGIA;SEDE CENTRAL;1;CUSCO;GOBIERNO REGIONAL;CUSCO;CALCA;SAN SALVADOR;GD-5;00002352;SAN SALVADOR;I-3;NACIONAL;NO;NO;-1349051377;-717817515;CARRETERA PISAC - SAN SALVADOR SIN NUMERO / SAN SALVADOR / CALCA / CUSCO
BIOLOGIA;SEDE CENTRAL;1;CUSCO;GOBIERNO REGIONAL;CUSCO;CALCA;YANATILE;GD-4;00002359;PUTUCUSI;I-3;REGIONAL;NO;NO;-1261651334;-7249016601;CALLE ANDRES MOROÑA S/N / YANATILE / CALCA / CUSCO
BIOLOGIA;SEDE CENTRAL;1;CUSCO;GOBIERNO REGIONAL;CUSCO;CANAS;KUNTURKANKI;GD-5;00007700;EL DESCANSO;I-4;NACIONAL;NO;NO;-1453354717;-713067295;AUTOPISTA CUSCO AREQUIPA SIN NUMERO / KUNTURKANKI / CANAS / CUSCO
BIOLOGIA;SEDE CENTRAL;1;CUSCO;GOBIERNO REGIONAL;CUSCO;CANCHIS;SICUANI;GD-4;00002380;TECHO OBRERO;I-4;NACIONAL;NO;NO;-1428850981;-7122453318;URB. SAN ANDRES / SICUANI / CANCHIS / CUSCO
BIOLOGIA;SEDE CENTRAL;1;CUSCO;GOBIERNO REGIONAL;CUSCO;LA CONVENCION;PICHARI;GD-4;00007113;NATIVIDAD;I-3;REGIONAL;NO;NO;-122564766;-7395672327;CENTRO POBLADO NATIVIDAD / PICHARI / LA CONVENCIÓN / CUSCO
BIOLOGIA;SEDE CENTRAL;1;CUSCO;GOBIERNO REGIONAL;CUSCO;LA CONVENCION;QUELLOUNO;GD-3;00002465;QUELLOUNO;I-4;REGIONAL;NO;NO;-1263569;-7255913;QUELLOUNO / LA CONVENCION / CUSCO
BIOLOGIA;SEDE CENTRAL;1;CUSCO;GOBIERNO REGIONAL;CUSCO;URUBAMBA;URUBAMBA;GD-4;00002540;URUBAMBA;I-4;NACIONAL;NO;NO;-1330926003;-7211568811;AVENIDA FERROCARRIL S/N / URUBAMBA / CUSCO
BIOLOGIA;SEDE CENTRAL;1;HUANCAVELICA;GOBIERNO REGIONAL;HUANCAVELICA;ANGARAES;CCOCHACCASA;GD-5;00003955;CCOCHACCASA;I-3;NACIONAL;SI;NO;-1292725833;-7477021333;CALLE GIRALDEZ S/N PLAZA DE ARMAS
BIOLOGIA;SEDE CENTRAL;1;HUANCAVELICA;GOBIERNO REGIONAL;HUANCAVELICA;CASTROVIRREYNA;AURAHUA;GD-4;00004019;AURAHUA;I-3;NACIONAL;SI;NO;-130358;-7557298;CALLE JORGE CHAVEZ N° 110
BIOLOGIA;SEDE CENTRAL;1;HUANCAVELICA;GOBIERNO REGIONAL;HUANCAVELICA;CASTROVIRREYNA;HUACHOS;GD-5;00004024;HUACHOS;I-3;NACIONAL;NO;NO;-132208;-7553637;CALLE OLMEDO ORELLANA S/N
BIOLOGIA;SEDE CENTRAL;1;HUANCAVELICA;GOBIERNO REGIONAL;HUANCAVELICA;CHURCAMPA;ANCO;GD-4;00003984;ANCO;I-3;REGIONAL;NO;NO;-1268049833;-74588295;JR. 8 DE DICIEMBRE S/N
BIOLOGIA;SEDE CENTRAL;1;HUANCAVELICA;GOBIERNO REGIONAL;HUANCAVELICA;TAYACAJA;COLCABAMBA;GD-5;00004090;COLCABAMBA;I-4;NACIONAL;NO;NO;-1240849167;-7468123;AV. CASA MAQUINA N° 129 CBBA
BIOLOGIA;SEDE CENTRAL;1;HUANCAVELICA;GOBIERNO REGIONAL;HUANCAVELICA;TAYACAJA;DANIEL HERNANDEZ;GD-5;00004083;DANIEL HERNANDEZ;I-4;NACIONAL;NO;NO;-1236589408;-7484373098;AV. PERU S/N PAMPA BLANCA
BIOLOGIA;SEDE CENTRAL;1;HUANUCO;GOBIERNO REGIONAL;HUANUCO;PUERTO INCA;PUERTO INCA;GD-3;00000907;PUERTO INCA;I-4;REGIONAL;NO;NO;-937667667;-7496451833;AV.LA MARINA S/N-PUERTO INCA
BIOLOGIA;SEDE CENTRAL;1;ICA;GOBIERNO REGIONAL;ICA;CHINCHA;EL CARMEN;GD-1;00003417;EL CARMEN;I-2;NACIONAL;NO;NO;-1349786;-7605680333;CALLE LA SALUD S/N 3RA. CUADRA
BIOLOGIA;SEDE CENTRAL;1;ICA;GOBIERNO REGIONAL;ICA;CHINCHA;PUEBLO NUEVO;GD-1;00003419;PUEBLO NUEVO;I-4;REGIONAL;NO;NO;-1340463767;-761276716;AV. MARISCAL BENEVIDES Nº 807
BIOLOGIA;SEDE CENTRAL;1;ICA;GOBIERNO REGIONAL;ICA;CHINCHA;SUNAMPE;GD-1;00003420;SUNAMPE;I-3;REGIONAL;NO;NO;-13428215;-7616413833;AV. MONTERRICO Nº 100
BIOLOGIA;SEDE CENTRAL;1;ICA;GOBIERNO REGIONAL;ICA;CHINCHA;TAMBO DE MORA;GD-1;00024769;TAMBO DE MORA;I-3;NACIONAL;NO;NO;-1346052672;-7617307209;JULIO FABRE CARRANZA
BIOLOGIA;SEDE CENTRAL;1;ICA;GOBIERNO REGIONAL;ICA;ICA;OCUCAJE;GD-1;00003374;OCUCAJE;I-3;REGIONAL;NO;NO;-1434864456;-7567034618;HACIENDA OCUCAJE L-7
BIOLOGIA;SEDE CENTRAL;1;ICA;GOBIERNO REGIONAL;ICA;NAZCA;NAZCA;GD-2;00003457;BUENA FE;I-2;NACIONAL;NO;NO;-1483705;-7492014167;BUENA FE E - 13
BIOLOGIA;SEDE CENTRAL;1;ICA;GOBIERNO REGIONAL;ICA;PALPA;LLIPATA;GD-1;00003464;LLIPATA;I-3;NACIONAL;NO;NO;-1456271833;-7520748833;PANAMERICANA SUR KM. 400
BIOLOGIA;SEDE CENTRAL;1;ICA;GOBIERNO REGIONAL;ICA;PALPA;RIO GRANDE;GD-1;00003459;RIO GRANDE;I-3;NACIONAL;NO;NO;-1451913667;-7520068833;CALLE SAN PEDRO Nº 100
BIOLOGIA;SEDE CENTRAL;1;ICA;GOBIERNO REGIONAL;ICA;PISCO;SAN ANDRES;GD-1;00003476;SAN ANDRES;I-2;REGIONAL;NO;NO;-1373132333;-7622088;AV. SIMON BOLIVAR S/N
BIOLOGIA;SEDE CENTRAL;1;JUNIN;GOBIERNO REGIONAL;JUNIN;CHANCHAMAYO;PERENE;GD-3;00000318;VILLA PERENE;I-4;NACIONAL;NO;NO;-10946735;-7522715;JR UCAYALI MZ K SEGUNDA MESETA
BIOLOGIA;SEDE CENTRAL;1;JUNIN;GOBIERNO REGIONAL;JUNIN;SATIPO;RIO TAMBO;GD-5;00000517;VALLE ESMERALDA;I-3;NACIONAL;SI;NO;-1212959068;-7407993581;CENTRO POBLADO VALLE ESMERALDA
BIOLOGIA;SEDE CENTRAL;1;LA LIBERTAD;GOBIERNO REGIONAL;LA LIBERTAD;CHEPEN;CHEPEN;GD-2;00005299;HOSPITAL DE APOYO CHEPEN;II-1;NACIONAL;NO;NO;-722198826;-7943528369;AV. 28 DE JULIO S/N
BIOLOGIA;SEDE CENTRAL;1;LA LIBERTAD;GOBIERNO REGIONAL;LA LIBERTAD;GRAN CHIMU;CASCAS;GD-3;00005280;EL MOLINO;I-3;NACIONAL;NO;NO;-757998009;-7869336012;CASERIO MOLINO TAMBO S/N
BIOLOGIA;SEDE CENTRAL;1;LA LIBERTAD;GOBIERNO REGIONAL;LA LIBERTAD;JULCAN;CALAMARCA;GD-5;00005308;CALAMARCA;I-4;NACIONAL;NO;NO;-817197256;-7840994051;CASERIO CALAMARCA S/N
BIOLOGIA;SEDE CENTRAL;1;LA LIBERTAD;GOBIERNO REGIONAL;LA LIBERTAD;JULCAN;JULCAN;GD-5;00006775;AYANGAY;I-3;NACIONAL;NO;NO;-802423545;-7842462772;CASERIO AYANGAY S/N
BIOLOGIA;SEDE CENTRAL;1;LA LIBERTAD;GOBIERNO REGIONAL;LA LIBERTAD;PACASMAYO;GUADALUPE;GD-3;00005292;HOSPITAL DE APOYO TOMAS LAFORA;II-1;NACIONAL;NO;NO;-7241255;-7947441;JR. LA VICTORIA S/N
BIOLOGIA;SEDE CENTRAL;1;LA LIBERTAD;GOBIERNO REGIONAL;LA LIBERTAD;PATAZ;TAYABAMBA;GD-4;00005375;HOSPITAL PROVINCIAL DE TAYABAMBA;II-1;NACIONAL;SI;NO;-827191667;-77298845;AV. DOS DE MAYO S/N
BIOLOGIA;SEDE CENTRAL;1;LA LIBERTAD;GOBIERNO REGIONAL;LA LIBERTAD;SANTIAGO DE CHUCO;SANTIAGO DE CHUCO;GD-5;00005332;HOSPITAL DE APOYO CESAR VALLEJO MENDOZA;II-1;NACIONAL;NO;NO;-8142575;-78172465;JR. MARISCAL CACERES 1145
BIOLOGIA;SEDE CENTRAL;1;LA LIBERTAD;GOBIERNO REGIONAL;LA LIBERTAD;VIRU;CHAO;GD-3;00005258;PUENTE CHAO;I-4;NACIONAL;NO;NO;-85422993;-7868143606;AV. ALAN GARCIA S/N
BIOLOGIA;SEDE CENTRAL;1;LAMBAYEQUE;GOBIERNO REGIONAL;LAMBAYEQUE;CHICLAYO;PUCALA;GD-2;00006997;PUCALA;I-3;NACIONAL;NO;NO;-6779125;-7960789167;AV.SANTA ROSA S/N - PUCALA
BIOLOGIA;SEDE CENTRAL;1;LAMBAYEQUE;GOBIERNO REGIONAL;LAMBAYEQUE;CHICLAYO;SAÑA;GD-2;00004356;ZAÑA;I-3;NACIONAL;NO;NO;-692203667;-79586035;JR. PATRIA Nº 280
BIOLOGIA;SEDE CENTRAL;1;LAMBAYEQUE;GOBIERNO REGIONAL;LAMBAYEQUE;FERREÑAFE;CAÑARIS;GD-5;00004399;HUACAPAMPA;I-2;NACIONAL;SI;NO;-610187925;-7917893777;C.P.M. HUACAPAMPA
BIOLOGIA;SEDE CENTRAL;1;LAMBAYEQUE;GOBIERNO REGIONAL;LAMBAYEQUE;FERREÑAFE;CAÑARIS;GD-5;00004397;KAÑARIS;I-3;NACIONAL;SI;NO;-604664185;-7926527205;CASERIO KAÑARIS
BIOLOGIA;SEDE CENTRAL;1;LAMBAYEQUE;GOBIERNO REGIONAL;LAMBAYEQUE;FERREÑAFE;INCAHUASI;GD-5;00004455;INKAWASI;I-3;NACIONAL;NO;NO;-623609338;-7931693995;CALLE LOS EUCALIPTOS S/N
BIOLOGIA;SEDE CENTRAL;1;LAMBAYEQUE;GOBIERNO REGIONAL;LAMBAYEQUE;FERREÑAFE;INCAHUASI;GD-5;00004454;MOYAN;I-2;NACIONAL;NO;NO;-66340676;-797869714;CENTRO POBLADO MOYAN
BIOLOGIA;SEDE CENTRAL;1;LAMBAYEQUE;GOBIERNO REGIONAL;LAMBAYEQUE;LAMBAYEQUE;MORROPE;GD-3;00004420;MORROPE;I-3;REGIONAL;NO;NO;-654098441;-8001592967;CALLE SANTA ANA S/N
BIOLOGIA;SEDE CENTRAL;1;LORETO;GOBIERNO REGIONAL;LORETO;DATEM DEL MARAÑON;MANSERICHE;GD-5;00000246;C.S. I-3 SARAMIRIZA;I-3;NACIONAL;SI;NO;-456787667;-7742026667;LOCALIDAD SARAMIRIZA
BIOLOGIA;SEDE CENTRAL;1;LORETO;GOBIERNO REGIONAL;LORETO;LORETO;NAUTA;GD-4;00000091;CENTRO DE SALUD I-4 NAUTA - NUCLEO BASE;I-4;NACIONAL;NO;NO;-450579542;-7357614988;CALLE RIOJA Nº414
BIOLOGIA;SEDE CENTRAL;1;LORETO;GOBIERNO REGIONAL;LORETO;MARISCAL RAMON CASTILLA;RAMON CASTILLA;GD-4;00000118;CABALLOCOCHA;I-4;NACIONAL;NO;NO;-390842333;-7051696667;CALLE PROGRESO 425
BIOLOGIA;SEDE CENTRAL;1;LORETO;GOBIERNO REGIONAL;LORETO;MAYNAS;ALTO NANAY;GD-4;00000004;C.S. I-3 SANTA MARIA DE NANAY;I-3;NACIONAL;SI;NO;-388899772;-7369678536;CASERIO DE SANTA MARIA DE NANAY
BIOLOGIA;SEDE CENTRAL;1;MADRE DE DIOS;GOBIERNO REGIONAL;MADRE DE DIOS;MANU;HUEPETUHE;GD-3;00002775;HUEPETUHE;I-3;NACIONAL;SI;NO;-1299798973;-7053422322;AV. BANCOPATA S/N
BIOLOGIA;SEDE CENTRAL;1;MADRE DE DIOS;GOBIERNO REGIONAL;MADRE DE DIOS;MANU;MANU;GD-3;00002773;SALVACION;I-3;NACIONAL;SI;NO;-1283561874;-7136059931;BARRIO NUEVA ESPERANZA LOTE Nº06MZNA.J
BIOLOGIA;SEDE CENTRAL;1;MADRE DE DIOS;GOBIERNO REGIONAL;MADRE DE DIOS;TAHUAMANU;IBERIA;GD-2;00002793;SAN MARTIN DE PORRES DE IBERIA;I-4;REGIONAL;SI;NO;-1141230106;-6948750262;CALLE MOCOPATA S/N
BIOLOGIA;SEDE CENTRAL;1;MADRE DE DIOS;GOBIERNO REGIONAL;MADRE DE DIOS;TAHUAMANU;IÑAPARI;GD-2;00002789;IÑAPARI;I-2;NACIONAL;SI;NO;-1094593375;-6957684276;AV BRASIL S/N IÑAPARI
BIOLOGIA;SEDE CENTRAL;1;MADRE DE DIOS;GOBIERNO REGIONAL;MADRE DE DIOS;TAHUAMANU;TAHUAMANU;GD-2;00002801;ALERTA;I-2;NACIONAL;SI;NO;-1165772654;-6923396244;COMUNIDAD DE ALERTA
BIOLOGIA;SEDE CENTRAL;1;MADRE DE DIOS;GOBIERNO REGIONAL;MADRE DE DIOS;TAMBOPATA;INAMBARI;GD-2;00002737;SANTA ROSA;I-2;NACIONAL;NO;NO;-12925805;-7030156407;CARRETERA CUSCO PTO MALDONADO KM. 129
BIOLOGIA;SEDE CENTRAL;1;MADRE DE DIOS;GOBIERNO REGIONAL;MADRE DE DIOS;TAMBOPATA;LABERINTO;GD-2;00002758;LABERINTO;I-2;NACIONAL;SI;NO;-127176711;-6958775788;AV. TAMBOPATA C-1
BIOLOGIA;SEDE CENTRAL;1;PASCO;GOBIERNO REGIONAL;PASCO;OXAPAMPA;OXAPAMPA;GD-3;00000980;ERNESTO GERMAN GUZMÁN GONZALES;II-1;REGIONAL;NO;NO;-1057623919;-7540243233;JR. BOTTGER 760 - OXAPAMPA
BIOLOGIA;SEDE CENTRAL;1;PASCO;GOBIERNO REGIONAL;PASCO;OXAPAMPA;PUERTO BERMUDEZ;GD-4;00001156;PUERTO BERMUDEZ;I-4;NACIONAL;NO;NO;-1030006;-74938535;PUERTO BERMUDEZ S/N
BIOLOGIA;SEDE CENTRAL;1;PIURA;GOBIERNO REGIONAL;PIURA;HUANCABAMBA;HUANCABAMBA;GD-4;00002250;ESTABLECIMIENTO DE SALUD HUANCABAMBA (JESUS  FRANCISCO GUERRERO CRUZ);I-4;NACIONAL;NO;NO;-52477;-7945501667;AV. HUANCABAMBA S/N
BIOLOGIA;SEDE CENTRAL;1;PIURA;GOBIERNO REGIONAL;PIURA;MORROPON;BUENOS AIRES;GD-3;00002188;E.S.  BUENOS AIRES;I-4;NACIONAL;NO;NO;-526550229;-7996803358;CALLE MARISCAL SUCRE 513
BIOLOGIA;SEDE CENTRAL;1;PIURA;GOBIERNO REGIONAL;PIURA;MORROPON;CHULUCANAS;GD-3;00002168;E.S   I- 3  YAPATERA;I-3;NACIONAL;NO;NO;-505879833;-8013666167;CENTRO POBLADO YAPATERA S/N
BIOLOGIA;SEDE CENTRAL;1;PIURA;GOBIERNO REGIONAL;PIURA;PIURA;LA ARENA;GD-3;00002124;E.S.  LA ARENA;I-3;NACIONAL;NO;NO;-53444845;-8071108456;CALLE LIMA N° 197
