"INSTITUCIÓN
OFERTANTE";PROFESIÓN;"SEDE DE
ADJUDICACIÓN";"N°
PLAZAS";"DIRESA
GERESA
DIRIS";INSTITUCIÓN;DEPARTAMENTO;PROVINCIA;DISTRITO;"GRADO DE
DIFICULTAD";"CÓDIGO
RENIPRESS";"NOMBRE DE
ESTABLECIMIENTO";CATEGORÍA;PRESUPUESTO;ZAF;ZE
AMAZONAS;BIOLOGIA;"SEDE
CENTRAL";1;AMAZONAS;"GOBIERNO
REGIONAL";AMAZONAS;BAGUA;BAGUA;GD-2;00006998;BAGUA;I-3;"SIN
PRESUPUESTO";NO;NO
AMAZONAS;BIOLOGIA;"SEDE
CENTRAL";1;AMAZONAS;"GOBIERNO
REGIONAL";AMAZONAS;"CONDORCANQU
I";NIEVA;GD-4;00005145;"SANTA MARIA DE
NIEVA";II-1;"SIN
PRESUPUESTO";SI;NO
AMAZONAS;ENFERMERIA;"SEDE
CENTRAL";1;AMAZONAS;"GOBIERNO
REGIONAL";AMAZONAS;BAGUA;BAGUA;GD-3;00007300;NARANJOS;I-1;"SIN
PRESUPUESTO";NO;NO
AMAZONAS;ENFERMERIA;"SEDE
CENTRAL";1;AMAZONAS;"GOBIERNO
REGIONAL";AMAZONAS;BAGUA;COPALLIN;GD-3;00005064;PAN DE AZUCAR;I-1;"SIN
PRESUPUESTO";NO;NO
AMAZONAS;ENFERMERIA;"SEDE
CENTRAL";1;AMAZONAS;"GOBIERNO
REGIONAL";AMAZONAS;BAGUA;EL PARCO;GD-4;00007758;UNION PROGRESO;I-1;"SIN
PRESUPUESTO";NO;NO
AMAZONAS;ENFERMERIA;"SEDE
CENTRAL";1;AMAZONAS;"GOBIERNO
REGIONAL";AMAZONAS;"CONDORCANQU
I";NIEVA;GD-5;00005157;NUEVO SEASME;I-1;"SIN
PRESUPUESTO";SI;NO
AMAZONAS;MEDICINA;"SEDE
CENTRAL";1;AMAZONAS;"GOBIERNO
REGIONAL";AMAZONAS;"CONDORCANQU
I";NIEVA;GD-4;00007134;NIEVA;I-3;"SIN
PRESUPUESTO";SI;NO
AMAZONAS;PSICOLOGIA;"SEDE
CENTRAL";1;AMAZONAS;"GOBIERNO
REGIONAL";AMAZONAS;BAGUA;BAGUA;GD-2;00006998;BAGUA;I-3;"SIN
PRESUPUESTO";NO;NO
AMAZONAS;PSICOLOGIA;"SEDE
CENTRAL";1;AMAZONAS;"GOBIERNO
REGIONAL";AMAZONAS;"CONDORCANQU
I";NIEVA;GD-4;00007134;NIEVA;I-3;"SIN
PRESUPUESTO";SI;NO
AMAZONAS;PSICOLOGIA;"SEDE
CENTRAL";1;AMAZONAS;"GOBIERNO
REGIONAL";AMAZONAS;"CONDORCANQU
I";NIEVA;GD-4;00005145;"SANTA MARIA DE
NIEVA";II-1;"SIN
PRESUPUESTO";SI;NO
AMAZONAS;PSICOLOGIA;"SEDE
CENTRAL";1;AMAZONAS;"GOBIERNO
REGIONAL";AMAZONAS;UTCUBAMBA;BAGUA GRANDE;GD-3;00007043;UTCUBAMBA;I-3;"SIN
PRESUPUESTO";NO;NO
AMAZONAS;"TM - LABORATORIO
CLINICO";"SEDE
CENTRAL";1;AMAZONAS;"GOBIERNO
REGIONAL";AMAZONAS;BAGUA;BAGUA;GD-2;00006998;BAGUA;I-3;"SIN
PRESUPUESTO";NO;NO
AMAZONAS;"TM - LABORATORIO
CLINICO";"SEDE
CENTRAL";1;AMAZONAS;"GOBIERNO
REGIONAL";AMAZONAS;UTCUBAMBA;BAGUA GRANDE;GD-3;00007043;UTCUBAMBA;I-3;"SIN
PRESUPUESTO";NO;NO
AMAZONAS;"TM - LABORATORIO
CLINICO";"SEDE
CENTRAL";1;AMAZONAS;"GOBIERNO
REGIONAL";AMAZONAS;UTCUBAMBA;EL MILAGRO;GD-3;00005066;EL MILAGRO;I-3;"SIN
PRESUPUESTO";NO;NO
ANCASH;BIOLOGIA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;CARHUAZ;CARHUAZ;GD-4;00001516;"HOSPITAL DE
APOYO ""NUESTRA
SEÑORA DE LAS
MERCEDES"" DE
CARHUAZ";II-1;"SIN
PRESUPUESTO";NO;NO
ANCASH;BIOLOGIA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;CASMA;CASMA;GD-2;00001719;"HOSPITAL DE
APOYO CASMA";II-1;"SIN
PRESUPUESTO";NO;NO
ANCASH;BIOLOGIA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;HUARMEY;HUARMEY;GD-2;00001741;"HOSPITAL DE
APOYO HUARMEY";II-1;"SIN
PRESUPUESTO";NO;NO
ANCASH;BIOLOGIA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;HUAYLAS;CARAZ;GD-4;00001587;"HOSPITAL DE
APOYO CARAZ";II-1;"SIN
PRESUPUESTO";NO;NO
ANCASH;BIOLOGIA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;SANTA;CHIMBOTE;GD-3;00001659;"CENTRO DE
SALUD PROGRESO";I-4;"SIN
PRESUPUESTO";NO;NO
ANCASH;BIOLOGIA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;SANTA;CHIMBOTE;GD-2;00001652;"HOSPITAL LA
CALETA";II-2;"SIN
PRESUPUESTO";NO;NO
ANCASH;BIOLOGIA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;SANTA;"NUEVO
CHIMBOTE";GD-1;00001704;"CENTRO DE
SALUD
YUGOSLAVIA";I-4;"SIN
PRESUPUESTO";NO;NO
ANCASH;ENFERMERIA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;"ANTONIO
RAIMONDI";LLAMELLIN;GD-4;00001847;"CENTRO DE
SALUD LLAMELLIN";I-3;"SIN
PRESUPUESTO";NO;NO
ANCASH;ENFERMERIA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;CARHUAZ;ACOPAMPA;GD-3;00001521;"CENTRO DE
SALUD ACOPAMPA";I-3;"SIN
PRESUPUESTO";NO;NO
ANCASH;ENFERMERIA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;"CARLOS FERMIN
FITZCARRALD";SAN LUIS;GD-4;00001856;"CENTRO DE
SALUD SAN LUIS";I-3;"SIN
PRESUPUESTO";NO;NO
ANCASH;ENFERMERIA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;CASMA;CASMA;GD-2;00001720;"PUESTO DE SALUD
SAN RAFAEL";I-1;"SIN
PRESUPUESTO";NO;NO
ANCASH;ENFERMERIA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;CASMA;CASMA;GD-2;00031617;"PUESTO DE SALUD
VILLA HERMOSA";I-2;"SIN
PRESUPUESTO";NO;NO
ANCASH;ENFERMERIA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;CASMA;"COMANDANTE
NOEL";GD-3;00001726;"PUESTO DE SALUD
COMANDANTE
NOEL";I-1;"SIN
PRESUPUESTO";NO;NO
ANCASH;ENFERMERIA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;HUARAZ;HUARAZ;GD-3;00001562;"CENTRO DE
SALUD
HUARUPAMPA";I-3;"SIN
PRESUPUESTO";NO;NO
ANCASH;ENFERMERIA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;HUARAZ;HUARAZ;GD-2;00001546;"PUESTO DE SALUD
SAN NICOLAS";I-2;"SIN
PRESUPUESTO";NO;NO
ANCASH;ENFERMERIA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;HUARAZ;INDEPENDENCIA;GD-3;00028701;"CENTRO DE
SALUD MENTAL
COMUNITARIO
""ALLY WARAQ""";I-3;"SIN
PRESUPUESTO";NO;NO
ANCASH;ENFERMERIA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;HUARAZ;INDEPENDENCIA;GD-3;00001557;"CENTRO DE
SALUD
NICRUPAMPA";I-3;"SIN
PRESUPUESTO";SI;NO
ANCASH;ENFERMERIA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;HUARAZ;INDEPENDENCIA;GD-2;00001568;"CENTRO DE
SALUD PALMIRA";I-4;"SIN
PRESUPUESTO";NO;NO
ANCASH;ENFERMERIA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;HUARAZ;INDEPENDENCIA;GD-2;00001572;"PUESTO DE SALUD
CURHUAZ";I-1;"SIN
PRESUPUESTO";NO;NO
ANCASH;ENFERMERIA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;HUARAZ;INDEPENDENCIA;GD-2;00001558;"PUESTO DE SALUD
HUANCHAC";I-2;"SIN
PRESUPUESTO";NO;NO
ANCASH;ENFERMERIA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;HUARAZ;INDEPENDENCIA;GD-3;00001559;"PUESTO DE SALUD
MARIAN";I-2;"SIN
PRESUPUESTO";NO;NO
ANCASH;ENFERMERIA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;HUARAZ;INDEPENDENCIA;GD-2;00001573;"PUESTO DE SALUD
PARIA";I-1;"SIN
PRESUPUESTO";NO;NO
ANCASH;ENFERMERIA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;HUARI;"CHAVIN DE
HUANTAR";GD-4;00001824;"CENTRO DE
SALUD CHAVIN";I-3;"SIN
PRESUPUESTO";NO;NO
ANCASH;ENFERMERIA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;HUARI;MASIN;GD-4;00001840;"PUESTO DE SALUD
MASIN";I-2;"SIN
PRESUPUESTO";NO;NO
ANCASH;ENFERMERIA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;HUARI;SAN MARCOS;GD-4;00001819;"CENTRO DE
SALUD SAN
MARCOS";I-3;"SIN
PRESUPUESTO";NO;NO
ANCASH;ENFERMERIA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;HUARMEY;HUARMEY;GD-3;00001742;"PUESTO DE SALUD
PUERTO HUARMEY";I-2;"SIN
PRESUPUESTO";NO;NO
ANCASH;ENFERMERIA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;RECUAY;CATAC;GD-4;00001476;"CENTRO DE
SALUD CATAC";I-3;"SIN
PRESUPUESTO";NO;NO
ANCASH;ENFERMERIA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;SANTA;CHIMBOTE;GD-3;00001658;"PUESTO DE SALUD
14 INCAS";I-1;"SIN
PRESUPUESTO";NO;NO
ANCASH;ENFERMERIA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;SANTA;CHIMBOTE;GD-2;00001656;"PUESTO DE SALUD
CAMBIO PUENTE";I-2;"SIN
PRESUPUESTO";NO;NO
ANCASH;ENFERMERIA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;SANTA;CHIMBOTE;GD-3;00001657;"PUESTO DE SALUD
CHACHAPOYAS";I-1;"SIN
PRESUPUESTO";NO;NO
ANCASH;ENFERMERIA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;SANTA;CHIMBOTE;GD-3;00001660;"CENTRO DE
SALUD LA UNIÓN";I-3;"SIN
PRESUPUESTO";NO;NO
ANCASH;ENFERMERIA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;SANTA;CHIMBOTE;GD-3;00001669;"CENTRO DE
SALUD
MAGDALENA
NUEVA";I-3;"SIN
PRESUPUESTO";NO;NO
ANCASH;ENFERMERIA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;SANTA;CHIMBOTE;GD-3;00001653;"CENTRO DE
SALUD SAN JUAN";I-3;"SIN
PRESUPUESTO";NO;NO
ANCASH;ENFERMERIA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;SANTA;CHIMBOTE;GD-3;00001661;"PUESTO DE SALUD
SAN PEDRO";I-2;"SIN
PRESUPUESTO";NO;NO
ANCASH;ENFERMERIA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ÁNCASH;SANTA;CHIMBOTE;GD-3;00036307;"PUESTO DE SALUD
SANTA ANA COSTA";I-2;"SIN
PRESUPUESTO";NO;NO
ANCASH;ENFERMERIA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;SANTA;CHIMBOTE;GD-3;00001663;"PUESTO DE SALUD
TUPAC AMARU";I-2;"SIN
PRESUPUESTO";NO;NO
ANCASH;ENFERMERIA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;SANTA;MORO;GD-3;00001717;"PUESTO DE SALUD
POCOS";I-1;"SIN
PRESUPUESTO";NO;NO
ANCASH;ENFERMERIA;"SEDE
CENTRAL";2;ANCASH;"GOBIERNO
REGIONAL";ANCASH;SANTA;"NUEVO
CHIMBOTE";GD-1;00027144;"CENTRO DE
SALUD MENTAL
COMUNITARIO
NUEVO PUERTO";I-3;"SIN
PRESUPUESTO";NO;NO
ANCASH;ENFERMERIA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;SANTA;"NUEVO
CHIMBOTE";GD-1;00001704;"CENTRO DE
SALUD
YUGOSLAVIA";I-4;"SIN
PRESUPUESTO";NO;NO
ANCASH;ENFERMERIA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;SANTA;"NUEVO
CHIMBOTE";GD-1;00001705;"PUESTO DE SALUD
3 DE OCTUBRE";I-2;"SIN
PRESUPUESTO";NO;NO
ANCASH;ENFERMERIA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;SANTA;"NUEVO
CHIMBOTE";GD-1;00007266;"PUESTO DE SALUD
NICOLAS DE
GARATEA";I-2;"SIN
PRESUPUESTO";NO;NO
ANCASH;ENFERMERIA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;SANTA;"NUEVO
CHIMBOTE";GD-2;00001707;"PUESTO DE SALUD
SATELITE";I-2;"SIN
PRESUPUESTO";NO;NO
ANCASH;ENFERMERIA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;SANTA;"NUEVO
CHIMBOTE";GD-1;00001706;"PUESTO DE SALUD
VILLA MARIA";I-2;"SIN
PRESUPUESTO";NO;NO
ANCASH;ENFERMERIA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;SANTA;SAMANCO;GD-2;00001712;"PUESTO DE SALUD
LOS CHIMUS";I-1;"SIN
PRESUPUESTO";NO;NO
ANCASH;ENFERMERIA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;SANTA;SAMANCO;GD-2;00001711;"PUESTO DE SALUD
SAMANCO";I-2;"SIN
PRESUPUESTO";NO;NO
ANCASH;"INGENIERIA
SANITARIA";"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;HUARAZ;HUARAZ;GD-2;00001543;"HOSPITAL ""VICTOR
RAMOS GUARDIA"" -
HUARAZ";II-2;"SIN
PRESUPUESTO";NO;NO
ANCASH;"INGENIERIA
SANITARIA";"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;HUARAZ;INDEPENDENCIA;GD-3;00001557;"CENTRO DE
SALUD
NICRUPAMPA";I-3;"SIN
PRESUPUESTO";SI;NO
ANCASH;MEDICINA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;"ANTONIO
RAIMONDI";LLAMELLIN;GD-4;00001847;"CENTRO DE
SALUD LLAMELLIN";I-3;"SIN
PRESUPUESTO";NO;NO
ANCASH;MEDICINA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;CARHUAZ;ACOPAMPA;GD-3;00001521;"CENTRO DE
SALUD ACOPAMPA";I-3;"SIN
PRESUPUESTO";NO;NO
ANCASH;MEDICINA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;CARHUAZ;ANTA;GD-4;00001528;"CENTRO DE
SALUD ANTA";I-3;"SIN
PRESUPUESTO";NO;NO
ANCASH;MEDICINA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;CARHUAZ;MARCARA;GD-4;00001534;"CENTRO DE
SALUD MARCARA";I-3;"SIN
PRESUPUESTO";NO;NO
ANCASH;MEDICINA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;CARHUAZ;PARIAHUANCA;GD-4;00001538;PARIHUANCA;I-1;"SIN
PRESUPUESTO";NO;NO
ANCASH;MEDICINA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;CASMA;"BUENA VISTA
ALTA";GD-3;00001723;"CENTRO DE
SALUD
BUENAVISTA";I-3;"SIN
PRESUPUESTO";NO;NO
ANCASH;MEDICINA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;CASMA;CASMA;GD-2;00031617;"PUESTO DE SALUD
VILLA HERMOSA";I-2;"SIN
PRESUPUESTO";NO;NO
ANCASH;MEDICINA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;HUARAZ;COCHABAMBA;GD-5;00001730;"PUESTO DE SALUD
COCHABAMBA";I-2;"SIN
PRESUPUESTO";NO;NO
ANCASH;MEDICINA;"SEDE
CENTRAL";2;ANCASH;"GOBIERNO
REGIONAL";ANCASH;HUARAZ;HUANCHAY;GD-4;00001748;"PUESTO DE SALUD
HUANCHAY HZ";I-2;"SIN
PRESUPUESTO";NO;NO
ANCASH;MEDICINA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;HUARAZ;HUARAZ;GD-3;00001562;"CENTRO DE
SALUD
HUARUPAMPA";I-3;"SIN
PRESUPUESTO";NO;NO
ANCASH;MEDICINA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;HUARAZ;INDEPENDENCIA;GD-2;00001574;"CENTRO DE
SALUD
MONTERREY";I-3;"SIN
PRESUPUESTO";NO;NO
ANCASH;MEDICINA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;HUARAZ;INDEPENDENCIA;GD-3;00001559;"PUESTO DE SALUD
MARIAN";I-2;"SIN
PRESUPUESTO";NO;NO
ANCASH;MEDICINA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;HUARAZ;INDEPENDENCIA;GD-2;00001573;"PUESTO DE SALUD
PARIA";I-1;"SIN
PRESUPUESTO";NO;NO
ANCASH;MEDICINA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;HUARI;"CHAVIN DE
HUANTAR";GD-4;00001824;"CENTRO DE
SALUD CHAVIN";I-3;"SIN
PRESUPUESTO";NO;NO
ANCASH;MEDICINA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;HUARI;MASIN;GD-4;00001840;"PUESTO DE SALUD
MASIN";I-2;"SIN
PRESUPUESTO";NO;NO
ANCASH;MEDICINA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;HUARI;RAHUAPAMPA;GD-4;00001836;"CENTRO DE
SALUD
RAHUAPAMPA";I-2;"SIN
PRESUPUESTO";NO;NO
ANCASH;MEDICINA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;HUARI;SAN MARCOS;GD-4;00001819;"CENTRO DE
SALUD SAN
MARCOS";I-3;"SIN
PRESUPUESTO";NO;NO
ANCASH;MEDICINA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;HUARI;UCO;GD-5;00001846;"PUESTO DE SALUD
UCO";I-2;"SIN
PRESUPUESTO";NO;NO
ANCASH;MEDICINA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;HUARMEY;CULEBRAS;GD-2;00001743;"PUESTO DE SALUD
CULEBRAS";I-2;"SIN
PRESUPUESTO";NO;NO
ANCASH;MEDICINA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;HUARMEY;HUARMEY;GD-2;00001744;"CENTRO DE
SALUD LA
VICTORIA";I-3;"SIN
PRESUPUESTO";NO;NO
ANCASH;MEDICINA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;HUARMEY;HUARMEY;GD-3;00001742;"PUESTO DE SALUD
PUERTO HUARMEY";I-2;"SIN
PRESUPUESTO";NO;NO
ANCASH;MEDICINA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;HUAYLAS;CARAZ;GD-4;00001590;"PUESTO DE SALUD
YURACOTO";I-1;"SIN
PRESUPUESTO";NO;NO
ANCASH;MEDICINA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;HUAYLAS;PUEBLO LIBRE;GD-5;00001611;"CENTRO DE
SALUD PUEBLO
LIBRE";I-3;"SIN
PRESUPUESTO";NO;NO
ANCASH;MEDICINA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;RECUAY;TICAPAMPA;GD-3;00001474;"PUESTO DE SALUD
TICAPAMPA";I-1;"SIN
PRESUPUESTO";NO;NO
ANCASH;MEDICINA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;SANTA;CHIMBOTE;GD-2;00001656;"PUESTO DE SALUD
CAMBIO PUENTE";I-2;"SIN
PRESUPUESTO";NO;NO
ANCASH;MEDICINA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;SANTA;CHIMBOTE;GD-3;00001665;"PUESTO DE SALUD
CASCAJAL";I-2;"SIN
PRESUPUESTO";NO;NO
ANCASH;MEDICINA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;SANTA;CHIMBOTE;GD-3;00001660;"CENTRO DE
SALUD LA UNIÓN";I-3;"SIN
PRESUPUESTO";NO;NO
ANCASH;MEDICINA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;SANTA;CHIMBOTE;GD-3;00001669;"CENTRO DE
SALUD
MAGDALENA
NUEVA";I-3;"SIN
PRESUPUESTO";NO;NO
ANCASH;MEDICINA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;SANTA;CHIMBOTE;GD-3;00001653;"CENTRO DE
SALUD SAN JUAN";I-3;"SIN
PRESUPUESTO";NO;NO
ANCASH;MEDICINA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;SANTA;CHIMBOTE;GD-3;00001661;"PUESTO DE SALUD
SAN PEDRO";I-2;"SIN
PRESUPUESTO";NO;NO
ANCASH;MEDICINA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;SANTA;CHIMBOTE;GD-3;00001663;"PUESTO DE SALUD
TUPAC AMARU";I-2;"SIN
PRESUPUESTO";NO;NO
ANCASH;MEDICINA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;SANTA;MORO;GD-2;00001716;"CENTRO DE
SALUD MORO";I-3;"SIN
PRESUPUESTO";NO;NO
ANCASH;MEDICINA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;SANTA;NEPEÑA;GD-2;00001714;"CENTRO DE
SALUD NEPEÑA";I-3;"SIN
PRESUPUESTO";NO;NO
ANCASH;MEDICINA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;SANTA;NEPEÑA;GD-2;00001715;"CENTRO DE
SALUD SAN
JACINTO";I-3;"SIN
PRESUPUESTO";NO;NO
ANCASH;MEDICINA;"SEDE
CENTRAL";2;ANCASH;"GOBIERNO
REGIONAL";ANCASH;SANTA;"NUEVO
CHIMBOTE";GD-1;00027144;"CENTRO DE
SALUD MENTAL
COMUNITARIO
NUEVO PUERTO";I-3;"SIN
PRESUPUESTO";NO;NO
ANCASH;MEDICINA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;SANTA;"NUEVO
CHIMBOTE";GD-2;00001707;"PUESTO DE SALUD
SATELITE";I-2;"SIN
PRESUPUESTO";NO;NO
ANCASH;MEDICINA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;YUNGAY;RANRAHIRCA;GD-4;00001646;"PUESTO DE SALUD
RANRAHIRCA";I-1;"SIN
PRESUPUESTO";NO;NO
ANCASH;NUTRICION;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;CASMA;CASMA;GD-2;00001719;"HOSPITAL DE
APOYO CASMA";II-1;"SIN
PRESUPUESTO";NO;NO
ANCASH;NUTRICION;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;CASMA;YAUTAN;GD-3;00001728;"CENTRO DE
SALUD YAUTAN";I-4;"SIN
PRESUPUESTO";NO;NO
ANCASH;NUTRICION;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;HUARAZ;PARIACOTO;GD-3;00001734;"CENTRO DE
SALUD
PARIACOTO";I-4;"SIN
PRESUPUESTO";NO;NO
ANCASH;NUTRICION;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;HUARI;HUARI;GD-4;00001813;"HOSPITAL DE
APOYO HUARI";II-1;"SIN
PRESUPUESTO";NO;NO
ANCASH;NUTRICION;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;HUARMEY;HUARMEY;GD-2;00001741;"HOSPITAL DE
APOYO HUARMEY";II-1;"SIN
PRESUPUESTO";NO;NO
ANCASH;NUTRICION;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;SANTA;CHIMBOTE;GD-3;00001659;"CENTRO DE
SALUD PROGRESO";I-4;"SIN
PRESUPUESTO";NO;NO
ANCASH;NUTRICION;"SEDE
CENTRAL";2;ANCASH;"GOBIERNO
REGIONAL";ANCASH;SANTA;CHIMBOTE;GD-2;00001652;"HOSPITAL LA
CALETA";II-2;"SIN
PRESUPUESTO";NO;NO
ANCASH;NUTRICION;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;SANTA;"NUEVO
CHIMBOTE";GD-1;00001704;"CENTRO DE
SALUD
YUGOSLAVIA";I-4;"SIN
PRESUPUESTO";NO;NO
